regressor_type,emotion_dimension,feature_group_criteria,group_id,hyperparams_json,score
gradientboost_regressor,Liking,participant,2.0,"""{\""max_depth\"": 5, \""max_features\"": 19, \""min_samples_leaf\"": 65, \""min_samples_split\"": 1550, \""n_estimators\"": 10, \""subsample\"": 0.6}""",-0.9722993534696697
svr_regressor,Valence,participant,2.0,"""{\""C\"": 1, \""gamma\"": 0.0001, \""kernel\"": \""rbf\""}""",-1.4709946735157107
svr_regressor,Arousal,participant,2.0,"""{\""C\"": 1, \""gamma\"": 0.0001, \""kernel\"": \""rbf\""}""",-1.3639139821241537
svr_regressor,Dominance,participant,2.0,"""{\""C\"": 1, \""gamma\"": 0.0001, \""kernel\"": \""poly\""}""",-1.1122496857271762
svr_regressor,Liking,participant,2.0,"""{\""C\"": 1, \""gamma\"": 0.0001, \""kernel\"": \""rbf\""}""",-0.9456613402784206
random_forest,Valence,participant,3.0,"""{\""max_depth\"": 50, \""max_features\"": \""sqrt\"", \""min_samples_leaf\"": 8, \""min_samples_split\"": 2, \""n_estimators\"": 200}""",-2.33622877821227
random_forest,Arousal,participant,3.0,"""{\""max_depth\"": null, \""max_features\"": \""sqrt\"", \""min_samples_leaf\"": 8, \""min_samples_split\"": 2, \""n_estimators\"": 200}""",-1.833268871932918
random_forest,Dominance,participant,3.0,"""{\""max_depth\"": 10, \""max_features\"": \""sqrt\"", \""min_samples_leaf\"": 8, \""min_samples_split\"": 5, \""n_estimators\"": 200}""",-1.7931616670756056
random_forest,Liking,participant,3.0,"""{\""max_depth\"": 90, \""max_features\"": \""sqrt\"", \""min_samples_leaf\"": 4, \""min_samples_split\"": 2, \""n_estimators\"": 200}""",-2.051252019849849
xgboost_regressor,Valence,participant,3.0,"""{\""colsample_bytree\"": 0.5, \""gamma\"": 7, \""max_depth\"": 3, \""min_child_weight\"": 0, \""reg_alpha\"": 40, \""reg_lambda\"": 0}""",-2.305859421730042
xgboost_regressor,Arousal,participant,3.0,"""{\""colsample_bytree\"": 0.5, \""gamma\"": 7, \""max_depth\"": 3, \""min_child_weight\"": 0, \""reg_alpha\"": 40, \""reg_lambda\"": 0}""",-1.9141250286102296
xgboost_regressor,Dominance,participant,3.0,"""{\""colsample_bytree\"": 0.5, \""gamma\"": 7, \""max_depth\"": 3, \""min_child_weight\"": 0, \""reg_alpha\"": 40, \""reg_lambda\"": 0}""",-1.9810000958442686
xgboost_regressor,Liking,participant,3.0,"""{\""colsample_bytree\"": 0.5, \""gamma\"": 7, \""max_depth\"": 3, \""min_child_weight\"": 8, \""reg_alpha\"": 40, \""reg_lambda\"": 0}""",-2.353656256198883
gradientboost_regressor,Valence,participant,3.0,"""{\""max_depth\"": 5, \""max_features\"": 9, \""min_samples_leaf\"": 65, \""min_samples_split\"": 1550, \""n_estimators\"": 10, \""subsample\"": 0.6}""",-2.220202799843811
gradientboost_regressor,Arousal,participant,3.0,"""{\""max_depth\"": 5, \""max_features\"": 9, \""min_samples_leaf\"": 65, \""min_samples_split\"": 200, \""n_estimators\"": 10, \""subsample\"": 0.6}""",-1.749602056303776
gradientboost_regressor,Dominance,participant,3.0,"""{\""max_depth\"": 5, \""max_features\"": 9, \""min_samples_leaf\"": 65, \""min_samples_split\"": 1550, \""n_estimators\"": 10, \""subsample\"": 0.6}""",-1.692065240156386
gradientboost_regressor,Liking,participant,3.0,"""{\""max_depth\"": 5, \""max_features\"": 19, \""min_samples_leaf\"": 65, \""min_samples_split\"": 2000, \""n_estimators\"": 10, \""subsample\"": 0.8}""",-2.0885947112897383
svr_regressor,Valence,participant,3.0,"""{\""C\"": 1, \""gamma\"": 0.0001, \""kernel\"": \""poly\""}""",-2.573499998271889
svr_regressor,Arousal,participant,3.0,"""{\""C\"": 1, \""gamma\"": 0.0001, \""kernel\"": \""poly\""}""",-1.9752500013277188
svr_regressor,Dominance,participant,3.0,"""{\""C\"": 1, \""gamma\"": 0.0001, \""kernel\"": \""poly\""}""",-1.743500002325814
svr_regressor,Liking,participant,3.0,"""{\""C\"": 1, \""gamma\"": 0.0001, \""kernel\"": \""linear\""}""",-2.089162786048436
random_forest,Valence,participant,4.0,"""{\""max_depth\"": 10, \""max_features\"": \""sqrt\"", \""min_samples_leaf\"": 8, \""min_samples_split\"": 2, \""n_estimators\"": 900}""",-2.0084677759028726
random_forest,Arousal,participant,4.0,"""{\""max_depth\"": 50, \""max_features\"": \""sqrt\"", \""min_samples_leaf\"": 1, \""min_samples_split\"": 2, \""n_estimators\"": 900}""",-1.628488333333329
random_forest,Dominance,participant,4.0,"""{\""max_depth\"": 90, \""max_features\"": \""sqrt\"", \""min_samples_leaf\"": 8, \""min_samples_split\"": 2, \""n_estimators\"": 200}""",-2.370413428060208
random_forest,Liking,participant,4.0,"""{\""max_depth\"": null, \""max_features\"": \""sqrt\"", \""min_samples_leaf\"": 8, \""min_samples_split\"": 2, \""n_estimators\"": 200}""",-2.168483347007166
xgboost_regressor,Valence,participant,4.0,"""{\""colsample_bytree\"": 0.5, \""gamma\"": 7, \""max_depth\"": 3, \""min_child_weight\"": 8, \""reg_alpha\"": 40, \""reg_lambda\"": 0}""",-2.3121877212524415
xgboost_regressor,Arousal,participant,4.0,"""{\""colsample_bytree\"": 0.5, \""gamma\"": 7, \""max_depth\"": 3, \""min_child_weight\"": 0, \""reg_alpha\"": 40, \""reg_lambda\"": 0}""",-1.8745625982284548
xgboost_regressor,Dominance,participant,4.0,"""{\""colsample_bytree\"": 0.5, \""gamma\"": 7, \""max_depth\"": 3, \""min_child_weight\"": 0, \""reg_alpha\"": 40, \""reg_lambda\"": 0}""",-2.352281320095062
xgboost_regressor,Liking,participant,4.0,"""{\""colsample_bytree\"": 0.5, \""gamma\"": 7, \""max_depth\"": 3, \""min_child_weight\"": 4, \""reg_alpha\"": 40, \""reg_lambda\"": 0}""",-2.3946564321517942
gradientboost_regressor,Valence,participant,4.0,"""{\""max_depth\"": 5, \""max_features\"": 19, \""min_samples_leaf\"": 30, \""min_samples_split\"": 2000, \""n_estimators\"": 10, \""subsample\"": 0.6}""",-1.9712304253524906
gradientboost_regressor,Arousal,participant,4.0,"""{\""max_depth\"": 5, \""max_features\"": 7, \""min_samples_leaf\"": 30, \""min_samples_split\"": 200, \""n_estimators\"": 10, \""subsample\"": 0.6}""",-1.6801801041071136
gradientboost_regressor,Dominance,participant,4.0,"""{\""max_depth\"": 5, \""max_features\"": 7, \""min_samples_leaf\"": 30, \""min_samples_split\"": 200, \""n_estimators\"": 10, \""subsample\"": 0.6}""",-2.319544590983186
gradientboost_regressor,Liking,participant,4.0,"""{\""max_depth\"": 5, \""max_features\"": 19, \""min_samples_leaf\"": 30, \""min_samples_split\"": 1100, \""n_estimators\"": 10, \""subsample\"": 0.7}""",-2.12573960380295
svr_regressor,Valence,participant,4.0,"""{\""C\"": 1, \""gamma\"": 0.0001, \""kernel\"": \""poly\""}""",-2.0997500004191574
svr_regressor,Arousal,participant,4.0,"""{\""C\"": 1, \""gamma\"": 0.0001, \""kernel\"": \""rbf\""}""",-1.575597694768526
svr_regressor,Dominance,participant,4.0,"""{\""C\"": 1, \""gamma\"": 0.0001, \""kernel\"": \""poly\""}""",-2.400750000236195
svr_regressor,Liking,participant,4.0,"""{\""C\"": 1, \""gamma\"": 0.0001, \""kernel\"": \""rbf\""}""",-2.2545772574511616
random_forest,Valence,participant,5.0,"""{\""max_depth\"": 10, \""max_features\"": \""sqrt\"", \""min_samples_leaf\"": 8, \""min_samples_split\"": 10, \""n_estimators\"": 200}""",-1.4190916486281555
random_forest,Arousal,participant,5.0,"""{\""max_depth\"": 50, \""max_features\"": \""sqrt\"", \""min_samples_leaf\"": 8, \""min_samples_split\"": 2, \""n_estimators\"": 200}""",-1.2774195920246756
random_forest,Dominance,participant,5.0,"""{\""max_depth\"": 90, \""max_features\"": \""sqrt\"", \""min_samples_leaf\"": 8, \""min_samples_split\"": 2, \""n_estimators\"": 200}""",-1.7822076933781925
random_forest,Liking,participant,5.0,"""{\""max_depth\"": 10, \""max_features\"": \""sqrt\"", \""min_samples_leaf\"": 8, \""min_samples_split\"": 10, \""n_estimators\"": 200}""",-1.6243255819715032
xgboost_regressor,Valence,participant,5.0,"""{\""colsample_bytree\"": 0.5, \""gamma\"": 7, \""max_depth\"": 3, \""min_child_weight\"": 0, \""reg_alpha\"": 40, \""reg_lambda\"": 0}""",-1.730125252723694
xgboost_regressor,Arousal,participant,5.0,"""{\""colsample_bytree\"": 0.5, \""gamma\"": 7, \""max_depth\"": 3, \""min_child_weight\"": 0, \""reg_alpha\"": 40, \""reg_lambda\"": 0}""",-1.4837501149177554
xgboost_regressor,Dominance,participant,5.0,"""{\""colsample_bytree\"": 0.5, \""gamma\"": 7, \""max_depth\"": 3, \""min_child_weight\"": 0, \""reg_alpha\"": 40, \""reg_lambda\"": 0}""",-2.0323439636230467
